Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
10.00,+44.23%,8.00,29.00,50.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
10.50,+41.44%,0.00,25.00,50.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
11.00,+38.65%,0.00,25.00,50.00,8.00,+8.00,unch,1,1,unch,224.76%,0.8645,Call,02/25/26
11.50,+35.86%,0.00,25.00,50.00,9.00,unch,unch,0,4,unch,0.00%,0.0000,Call,02/23/26
12.00,+33.07%,0.00,25.00,50.00,7.00,-2.48,-26.16%,1,1,+1,196.54%,0.8450,Call,02/25/26
12.50,+30.28%,0.00,25.00,50.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
13.00,+27.50%,0.00,25.00,50.00,7.16,unch,unch,0,1,unch,0.00%,0.0000,Call,N/A
13.50,+24.71%,0.00,25.00,50.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
14.00,+21.92%,0.84,5.31,9.77,6.57,unch,unch,0,6,unch,166.84%,0.7801,Call,02/23/26
14.50,+19.13%,0.40,2.95,5.50,5.05,+5.05,unch,2,25,unch,169.91%,0.7557,Call,02/25/26
15.00,+16.34%,0.01,4.36,8.71,4.80,-0.50,-9.43%,18,60,unch,172.11%,0.7319,Call,02/25/26
16.00,+10.76%,0.00,3.77,7.53,3.90,-0.46,-10.55%,5,108,+2,150.98%,0.6873,Call,02/25/26
17.00,+5.19%,0.00,3.21,6.42,3.30,-0.40,-10.81%,35,81,+1,145.49%,0.6333,Call,02/25/26
18.00,-0.39%,0.00,2.77,5.54,2.60,-0.45,-14.75%,214,83,+16,132.41%,0.5716,Call,02/25/26
19.00,-5.97%,0.00,2.36,4.72,2.36,-0.32,-11.94%,96,285,+90,140.29%,0.5208,Call,02/25/26
20.00,-11.54%,1.75,2.11,2.47,1.90,-0.46,-19.49%,534,"1,105",+520,134.35%,0.4601,Call,02/25/26
21.00,-17.12%,0.00,1.77,3.53,1.66,-0.38,-18.63%,107,380,+25,137.17%,0.4134,Call,02/25/26
22.00,-22.70%,0.00,1.57,3.13,1.50,-0.35,-18.92%,285,651,+105,142.17%,0.3762,Call,02/25/26
23.00,-28.28%,0.00,1.40,2.79,1.39,-0.31,-18.24%,132,418,-14,148.29%,0.3467,Call,02/25/26
24.00,-33.85%,0.90,1.70,2.50,1.25,-0.20,-13.79%,10,159,+27,151.43%,0.3160,Call,02/25/26
25.00,-39.43%,0.00,1.13,2.26,0.92,-0.46,-33.33%,221,"1,647",-65,141.79%,0.2601,Call,02/25/26
