Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
10.00,+44.23%,0.00,25.00,50.00,11.07,+11.07,unch,1,356,unch,222.28%,0.8641,Call,02/25/26
10.50,+41.44%,0.00,25.00,50.00,10.70,unch,unch,0,50,unch,0.00%,0.0000,Call,02/17/26
11.00,+38.65%,0.00,25.00,50.00,10.28,unch,unch,0,72,unch,0.00%,0.0000,Call,02/23/26
11.50,+35.86%,0.00,25.00,50.00,10.22,unch,unch,0,0,unch,0.00%,0.0000,Call,10/23/25
12.00,+33.07%,0.00,25.00,50.00,9.20,+9.20,unch,11,161,unch,181.67%,0.8195,Call,02/25/26
12.50,+30.28%,0.00,25.00,50.00,8.00,unch,unch,0,20,unch,0.00%,0.0000,Call,01/23/26
13.00,+27.50%,0.00,25.00,50.00,8.16,+8.16,unch,1,169,unch,160.45%,0.7936,Call,02/25/26
13.50,+24.71%,0.00,25.00,50.00,8.00,unch,unch,0,717,unch,0.00%,0.0000,Call,02/23/26
14.00,+21.92%,0.00,4.55,9.10,7.25,+0.05,+0.69%,10,426,unch,145.31%,0.7655,Call,02/25/26
14.50,+19.13%,6.55,6.70,6.85,6.75,unch,unch,0,369,-4,135.06%,0.7495,Call,02/24/26
15.00,+16.34%,6.15,6.33,6.50,6.45,-0.10,-1.53%,13,"1,020",+52,134.39%,0.7347,Call,02/25/26
16.00,+10.76%,5.40,5.55,5.70,5.65,-0.10,-1.74%,2,721,unch,123.66%,0.7003,Call,02/25/26
17.00,+5.19%,4.80,4.95,5.10,5.10,-0.05,-0.97%,556,"1,365",-4,119.90%,0.6662,Call,02/25/26
18.00,-0.39%,4.30,4.50,4.70,4.65,-0.05,-1.06%,61,716,+5,118.19%,0.6326,Call,02/25/26
19.00,-5.97%,3.90,4.05,4.20,4.21,+4.21,unch,61,343,unch,111.85%,0.5927,Call,02/25/26
20.00,-11.54%,3.55,3.72,3.90,3.81,-0.09,-2.31%,59,"11,029",+21,114.17%,0.5641,Call,02/25/26
21.00,-17.12%,3.25,3.43,3.60,3.60,unch,unch,"1,868","32,960",-7,116.49%,0.5379,Call,02/25/26
22.00,-22.70%,2.90,3.13,3.35,3.30,unch,unch,"133,313","13,417",+1,115.88%,0.5079,Call,02/25/26
23.00,-28.28%,0.00,1.58,3.15,3.05,unch,unch,42,"21,598",+25,115.95%,0.4805,Call,02/25/26
24.00,-33.85%,0.00,1.42,2.84,2.83,-0.11,-3.74%,136,"8,197",+2,116.25%,0.4549,Call,02/25/26
25.00,-39.43%,2.20,2.43,2.65,2.70,unch,unch,973,"10,738",+68,111.30%,0.4158,Call,02/25/26
26.00,-45.01%,0.00,1.24,2.48,2.50,+2.50,unch,63,270,unch,118.26%,0.4120,Call,02/25/26
27.00,-50.59%,0.00,1.17,2.33,2.37,+2.37,unch,"3,629",359,unch,119.58%,0.3937,Call,02/25/26
28.00,-56.16%,0.00,1.10,2.20,2.20,+2.20,unch,134,499,unch,119.50%,0.3724,Call,02/25/26
29.00,-61.74%,0.00,1.04,2.08,2.08,+2.08,unch,52,503,unch,120.40%,0.3555,Call,02/25/26
30.00,-67.32%,1.00,1.60,2.20,1.99,-0.02,-1.00%,"1,905","80,588","-19,758",121.84%,0.3415,Call,02/25/26
31.00,-72.89%,0.00,0.98,1.96,1.94,+0.05,+2.65%,130,178,-1,124.14%,0.3314,Call,02/25/26
32.00,-78.47%,0.00,0.90,1.80,1.81,-0.01,-0.55%,155,529,+31,123.98%,0.3143,Call,02/25/26
33.00,-84.05%,0.00,0.86,1.72,1.71,+0.01,+0.59%,129,"1,267",+7,124.42%,0.3001,Call,02/25/26
34.00,-89.63%,0.00,0.82,1.64,1.64,+1.64,unch,501,126,unch,125.52%,0.2889,Call,02/25/26
35.00,-95.20%,1.00,1.32,1.64,1.56,-0.04,-2.50%,"1,129","29,396",+13,126.13%,0.2770,Call,02/25/26
36.00,-100.78%,0.00,0.76,1.52,1.50,+1.50,unch,129,"2,240",unch,127.18%,0.2672,Call,02/25/26
