Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
"2,800.00",+59.36%,"4,080.00","4,091.15","4,102.30","4,036.80",unch,unch,0,0,unch,0.00%,0.0000,Call,02/23/26
"3,000.00",+56.46%,"3,880.20","3,891.30","3,902.40",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,200.00",+53.56%,"3,680.30","3,691.45","3,702.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,400.00",+50.65%,"3,480.50","3,491.60","3,502.70",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,600.00",+47.75%,"3,280.60","3,291.75","3,302.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,800.00",+44.85%,"3,080.80","3,091.90","3,103.00",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,000.00",+41.95%,"2,880.90","2,891.95","2,903.00",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,200.00",+39.04%,"2,681.10","2,692.20","2,703.30",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,400.00",+36.14%,"2,481.20","2,492.25","2,503.30",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,600.00",+33.24%,"2,281.40","2,292.45","2,303.50",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,800.00",+30.33%,"2,081.60","2,092.70","2,103.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,000.00",+27.43%,"1,881.70","1,892.75","1,903.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,200.00",+24.53%,"1,681.90","1,693.00","1,704.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,400.00",+21.63%,"1,482.10","1,493.20","1,504.30",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,500.00",+20.17%,"1,382.20","1,393.30","1,404.40","1,344.98",unch,unch,0,1,unch,0.00%,0.0000,Call,02/13/26
"5,600.00",+18.72%,"1,282.30","1,293.35","1,304.40",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,700.00",+17.27%,"1,182.40","1,193.45","1,204.50",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,800.00",+15.82%,"1,082.50","1,093.75","1,105.00","1,051.63",unch,unch,0,1,unch,0.00%,0.0000,Call,02/17/26
"5,850.00",+15.10%,"1,032.60","1,043.70","1,054.80","1,001.88",unch,unch,0,1,unch,0.00%,0.0000,Call,02/17/26
"5,875.00",+14.73%,"1,007.60","1,018.65","1,029.70",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,900.00",+14.37%,982.70,993.80,"1,004.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,925.00",+14.01%,957.70,968.80,979.90,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,950.00",+13.64%,932.70,943.85,955.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,975.00",+13.28%,907.80,918.90,930.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,000.00",+12.92%,882.80,893.85,904.90,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,025.00",+12.56%,857.90,868.95,880.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,050.00",+12.19%,832.90,844.20,855.50,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,075.00",+11.83%,808.00,819.05,830.10,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,100.00",+11.47%,783.00,794.15,805.30,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,125.00",+11.10%,758.10,769.20,780.30,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,150.00",+10.74%,733.10,744.25,755.40,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,175.00",+10.38%,708.20,719.25,730.30,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,200.00",+10.02%,687.60,690.90,694.20,698.72,+698.72,unch,4,0,unch,0.00%,0.0000,Call,02/24/26
"6,225.00",+9.65%,662.70,666.00,669.30,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,250.00",+9.29%,637.80,641.10,644.40,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,275.00",+8.93%,612.90,616.20,619.50,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,300.00",+8.56%,588.10,591.35,594.60,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,325.00",+8.20%,563.30,566.55,569.80,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,350.00",+7.84%,538.50,541.80,545.10,543.97,+543.97,unch,4,0,unch,0.00%,0.0000,Call,02/24/26
"6,375.00",+7.48%,513.70,517.00,520.30,518.74,+518.74,unch,3,0,unch,0.00%,0.0000,Call,02/24/26
"6,400.00",+7.11%,489.00,492.20,495.40,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,420.00",+6.82%,469.30,472.55,475.80,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,425.00",+6.75%,464.40,467.55,470.70,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,430.00",+6.68%,459.40,462.70,466.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,440.00",+6.53%,449.60,452.75,455.90,454.00,+454.00,unch,1,0,unch,0.00%,0.0000,Call,02/24/26
"6,450.00",+6.39%,439.80,443.00,446.20,400.82,unch,unch,0,4,+1,0.00%,0.0000,Call,02/23/26
"6,460.00",+6.24%,430.00,433.20,436.40,392.42,unch,unch,0,2,unch,0.00%,0.0000,Call,02/23/26
"6,470.00",+6.10%,420.20,423.30,426.40,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,475.00",+6.02%,415.30,418.40,421.50,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,480.00",+5.95%,410.40,413.60,416.80,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,490.00",+5.81%,400.60,403.80,407.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,500.00",+5.66%,390.90,394.00,397.10,402.95,+402.95,unch,4,1,unch,0.00%,0.0000,Call,02/24/26
"6,510.00",+5.52%,381.20,384.35,387.50,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,520.00",+5.37%,371.50,374.65,377.80,0.00,unch,unch,0,0,unch,12.94%,0.9991,Call,N/A
"6,525.00",+5.30%,366.70,369.75,372.80,0.00,unch,unch,0,0,unch,14.54%,0.9970,Call,N/A
"6,530.00",+5.23%,361.80,364.95,368.10,373.80,+373.80,unch,16,0,unch,15.88%,0.9935,Call,02/24/26
"6,540.00",+5.08%,352.20,355.25,358.30,342.37,+342.37,unch,12,2,unch,16.78%,0.9889,Call,02/24/26
"6,550.00",+4.94%,342.60,345.75,348.90,369.70,unch,unch,0,3,unch,17.76%,0.9821,Call,02/18/26
"6,555.00",+4.86%,332.70,343.90,355.10,0.00,unch,unch,0,0,unch,22.13%,0.9520,Call,N/A
"6,560.00",+4.79%,333.00,336.10,339.20,0.00,unch,unch,0,0,unch,18.04%,0.9776,Call,N/A
"6,565.00",+4.72%,323.10,334.30,345.50,0.00,unch,unch,0,0,unch,21.99%,0.9480,Call,N/A
"6,570.00",+4.65%,323.50,326.50,329.50,0.00,unch,unch,0,0,unch,18.27%,0.9726,Call,N/A
"6,575.00",+4.57%,318.80,321.95,325.10,0.00,unch,unch,0,0,unch,18.71%,0.9675,Call,N/A
"6,580.00",+4.50%,314.40,317.25,320.10,301.58,unch,unch,0,20,unch,18.87%,0.9642,Call,02/12/26
"6,585.00",+4.43%,304.00,315.15,326.30,0.00,unch,unch,0,0,unch,21.66%,0.9392,Call,N/A
"6,590.00",+4.36%,304.60,307.55,310.50,0.00,unch,unch,0,0,unch,18.74%,0.9604,Call,N/A
"6,595.00",+4.28%,294.60,305.75,316.90,0.00,unch,unch,0,0,unch,21.59%,0.9335,Call,N/A
"6,600.00",+4.21%,295.20,298.10,301.00,287.44,unch,unch,0,13,unch,18.85%,0.9543,Call,02/13/26
"6,605.00",+4.14%,285.10,296.25,307.40,0.00,unch,unch,0,0,unch,21.40%,0.9284,Call,N/A
"6,610.00",+4.06%,285.80,288.70,291.60,0.00,unch,unch,0,0,unch,18.93%,0.9477,Call,N/A
"6,615.00",+3.99%,275.70,286.85,298.00,0.00,unch,unch,0,0,unch,21.26%,0.9226,Call,N/A
"6,620.00",+3.92%,276.50,279.40,282.30,0.00,unch,unch,0,0,unch,19.02%,0.9403,Call,N/A
"6,625.00",+3.85%,271.90,274.75,277.60,0.00,unch,unch,0,0,unch,19.04%,0.9367,Call,N/A
"6,630.00",+3.77%,267.20,270.25,273.30,0.00,unch,unch,0,0,unch,19.17%,0.9318,Call,N/A
"6,635.00",+3.70%,257.10,268.20,279.30,231.83,unch,unch,0,2,+2,20.96%,0.9096,Call,02/23/26
"6,640.00",+3.63%,258.00,260.85,263.70,275.23,unch,unch,0,76,unch,19.05%,0.9253,Call,N/A
"6,645.00",+3.56%,247.90,259.00,270.10,0.00,unch,unch,0,0,unch,20.84%,0.9021,Call,N/A
"6,650.00",+3.48%,248.90,251.70,254.50,0.00,unch,unch,0,0,unch,19.06%,0.9168,Call,N/A
"6,655.00",+3.41%,238.70,249.85,261.00,200.24,-70.87,-26.14%,1,1,unch,20.71%,0.8942,Call,02/24/26
"6,660.00",+3.34%,239.80,242.60,245.40,0.00,unch,unch,0,0,unch,19.04%,0.9079,Call,N/A
"6,665.00",+3.27%,229.60,240.65,251.70,0.00,unch,unch,0,0,unch,20.51%,0.8865,Call,N/A
"6,670.00",+3.19%,230.70,233.55,236.40,263.60,unch,unch,0,1,unch,19.00%,0.8986,Call,02/18/26
"6,675.00",+3.12%,226.30,229.10,231.90,258.80,unch,unch,0,2,unch,19.00%,0.8934,Call,02/18/26
"6,680.00",+3.05%,222.20,224.80,227.40,255.40,unch,unch,0,22,unch,19.07%,0.8873,Call,02/18/26
"6,685.00",+2.98%,211.60,222.70,233.80,0.00,unch,unch,0,0,unch,20.24%,0.8681,Call,N/A
"6,690.00",+2.90%,212.90,215.85,218.80,0.00,unch,unch,0,0,unch,18.97%,0.8773,Call,N/A
"6,695.00",+2.83%,202.70,213.80,224.90,0.00,unch,unch,0,0,unch,20.07%,0.8582,Call,N/A
"6,700.00",+2.76%,204.10,207.00,209.90,205.80,+205.80,unch,7,20,unch,18.28%,0.8740,Call,02/24/26
"6,705.00",+2.69%,197.90,205.90,213.90,0.00,unch,unch,0,0,unch,20.32%,0.8430,Call,N/A
"6,710.00",+2.61%,195.80,198.30,200.80,203.10,unch,unch,0,1,unch,18.80%,0.8548,Call,N/A
"6,715.00",+2.54%,189.10,197.10,205.10,0.00,unch,unch,0,0,unch,20.10%,0.8324,Call,N/A
"6,720.00",+2.47%,186.70,189.40,192.10,205.65,unch,unch,0,91,unch,18.59%,0.8440,Call,02/19/26
"6,725.00",+2.40%,182.90,185.50,188.10,186.40,+186.40,unch,4,4,unch,19.08%,0.8309,Call,02/24/26
"6,730.00",+2.32%,178.60,181.20,183.80,143.30,+143.30,unch,1,0,unch,18.63%,0.8293,Call,02/24/26
"6,735.00",+2.25%,171.90,179.90,187.90,0.00,unch,unch,0,0,unch,19.72%,0.8086,Call,N/A
"6,740.00",+2.18%,170.10,172.70,175.30,165.11,unch,unch,0,1,unch,18.49%,0.8160,Call,02/19/26
"6,745.00",+2.11%,163.40,171.40,179.40,188.58,unch,unch,0,1,unch,19.51%,0.7958,Call,N/A
"6,750.00",+2.03%,161.90,164.30,166.70,162.82,+31.72,+24.20%,2,43,+23,17.78%,0.8092,Call,02/24/26
"6,755.00",+1.96%,155.00,163.00,171.00,153.01,+23.06,+17.75%,4,15,+13,19.30%,0.7824,Call,02/24/26
"6,760.00",+1.89%,153.10,155.80,158.50,160.57,+34.27,+27.13%,4,19,+14,18.11%,0.7883,Call,02/24/26
"6,765.00",+1.82%,146.80,154.80,162.80,152.00,+25.38,+20.04%,12,6,+2,18.14%,0.7793,Call,02/24/26
"6,770.00",+1.74%,145.40,147.75,150.10,152.47,+152.47,unch,6,0,unch,17.99%,0.7722,Call,02/24/26
"6,775.00",+1.67%,141.00,143.60,146.20,149.97,+34.97,+30.41%,4,6,unch,17.87%,0.7646,Call,02/24/26
"6,780.00",+1.60%,137.00,139.55,142.10,135.37,+135.37,unch,5,8,unch,17.78%,0.7565,Call,02/24/26
"6,785.00",+1.52%,130.50,138.50,146.50,141.75,+25.95,+22.41%,6,3,+1,19.68%,0.7268,Call,02/24/26
