Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
200.00,+97.10%,"6,645.10","6,657.10","6,669.10","6,676.04",unch,unch,0,5,unch,0.00%,0.0000,Call,02/09/26
400.00,+94.19%,"6,449.00","6,461.00","6,473.00","6,430.02",unch,unch,0,1,unch,0.00%,0.0000,Call,02/17/26
600.00,+91.29%,"6,253.00","6,265.00","6,277.00",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
800.00,+88.39%,"6,057.00","6,069.00","6,081.00","5,924.45",unch,unch,0,0,unch,0.00%,0.0000,Call,10/20/25
"1,000.00",+85.49%,"5,863.60","5,873.70","5,883.80","5,570.31",unch,unch,0,0,unch,0.00%,0.0000,Call,09/11/25
"1,200.00",+82.58%,"5,668.00","5,678.60","5,689.20",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"1,400.00",+79.68%,"5,472.40","5,482.90","5,493.40","5,142.80",unch,unch,0,1,unch,0.00%,0.0000,Call,11/21/25
"1,600.00",+76.78%,"5,277.10","5,287.25","5,297.40",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"1,800.00",+73.88%,"5,081.80","5,090.70","5,099.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,000.00",+70.97%,"4,886.80","4,895.40","4,904.00","4,611.96",unch,unch,0,0,unch,0.00%,0.0000,Call,09/11/25
"2,200.00",+68.07%,"4,691.40","4,700.00","4,708.60","4,720.33",unch,unch,0,0,unch,0.00%,0.0000,Call,12/29/25
"2,400.00",+65.17%,"4,496.50","4,504.65","4,512.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,500.00",+63.72%,"4,399.40","4,407.25","4,415.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,600.00",+62.26%,"4,302.00","4,310.00","4,318.00",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,700.00",+60.81%,"4,204.30","4,212.10","4,219.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,800.00",+59.36%,"4,107.40","4,115.15","4,122.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"2,900.00",+57.91%,"4,008.60","4,017.20","4,025.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,000.00",+56.46%,"3,911.60","3,920.00","3,928.40","3,478.87",unch,unch,0,1,unch,0.00%,0.0000,Call,08/21/25
"3,100.00",+55.01%,"3,814.50","3,822.70","3,830.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,200.00",+53.56%,"3,717.70","3,725.80","3,733.90","3,742.73",unch,unch,0,3,unch,0.00%,0.0000,Call,02/09/26
"3,300.00",+52.10%,"3,620.50","3,628.55","3,636.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,400.00",+50.65%,"3,523.80","3,531.60","3,539.40",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,500.00",+49.20%,"3,427.60","3,434.60","3,441.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,600.00",+47.75%,"3,330.00","3,337.60","3,345.20",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,700.00",+46.30%,"3,233.30","3,240.65","3,248.00",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,750.00",+45.57%,"3,184.90","3,192.25","3,199.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,800.00",+44.85%,"3,136.80","3,143.95","3,151.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,850.00",+44.12%,"3,088.20","3,094.90","3,101.60",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,900.00",+43.40%,"3,039.90","3,047.05","3,054.20",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"3,950.00",+42.67%,"2,991.60","2,998.70","3,005.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,000.00",+41.95%,"2,943.40","2,950.45","2,957.50","2,631.49",unch,unch,0,4,unch,0.00%,0.0000,Call,09/09/25
"4,050.00",+41.22%,"2,895.30","2,901.55","2,907.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,100.00",+40.49%,"2,847.20","2,853.35","2,859.50","2,445.96",unch,unch,0,0,unch,0.00%,0.0000,Call,07/24/25
"4,150.00",+39.77%,"2,798.80","2,805.00","2,811.20",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,200.00",+39.04%,"2,751.00","2,756.95","2,762.90","2,725.46",unch,unch,0,1,+1,0.00%,0.0000,Call,02/23/26
"4,250.00",+38.32%,"2,702.80","2,708.80","2,714.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,300.00",+37.59%,"2,654.20","2,660.35","2,666.50","2,279.28",unch,unch,0,1,unch,0.00%,0.0000,Call,08/19/25
"4,350.00",+36.87%,"2,606.60","2,612.50","2,618.40",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,375.00",+36.50%,"2,582.60","2,588.45","2,594.30",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,400.00",+36.14%,"2,558.40","2,564.30","2,570.20",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
